,lat,long
267,40.7069,-73.95467
268,40.72807,-73.98594
269,40.6778,-73.94339
270,40.68317,-73.94701
271,40.6761,-73.9529
272,40.67586,-73.95155
273,40.71702,-73.99811
274,40.72321,-73.98157
275,40.77956,-73.98098
276,40.68276,-73.95264
277,40.71368,-73.9626
278,40.72956,-73.98158
279,40.71069,-73.95175
280,40.70863,-73.94641
281,40.82888,-73.94307
282,40.67319,-73.97323
283,40.67846,-73.99443
284,40.6715,-73.94808
285,40.72681,-73.98534
286,40.71904,-73.99392
287,40.71031,-73.9583
288,40.81322,-73.95306
289,40.67732,-73.98225
290,40.68076,-73.9896
291,40.79603,-73.94903
292,40.71492,-73.96282
293,40.80393,-73.95838
294,40.80082,-73.9652
295,40.82976,-73.94867
296,40.683,-73.91981
297,40.78971,-73.9729
298,40.67817,-73.99495
299,40.73119,-73.95578
300,40.71943,-73.99627
301,40.78,-73.98249
302,40.70514,-73.91922
303,40.86713,-73.92811
304,40.73198,-73.98881
305,40.72542,-73.97986
306,40.83494,-73.93869
307,40.71659,-73.98945
308,40.72966,-74.00243
309,40.72898,-73.95552
310,40.87207,-73.90193
311,40.77728,-73.97818
312,40.72646,-73.95341
313,40.71015,-73.96101
314,40.71903,-73.9597
315,40.80892,-73.93985
316,40.80276,-73.9567
317,40.77635,-73.93426
318,40.72488,-73.95018
319,40.71398,-73.95763
320,40.71876,-73.98394
321,40.66552,-73.99019
322,40.73749,-73.95292
323,40.76248,-73.9913
324,40.68674,-73.98876
325,40.6848,-73.96219
326,40.70516,-73.95455
327,40.72329,-73.98486
328,40.73776,-73.95327
329,40.73738,-73.95482
330,40.67542,-73.98142
331,40.73842,-73.95312
332,40.6926,-73.99832
333,40.69441,-73.99771
334,40.72399,-73.98374
335,40.6824,-73.94615
336,40.68949,-73.91708
337,40.68819,-73.97258
338,40.7205,-73.96015
339,40.72451,-73.98094
340,40.73813,-73.95394
341,40.67591,-73.94715
342,40.72843,-73.98895
343,40.71271,-73.99776
344,40.66966,-73.94735
345,40.71965,-73.98766
346,40.68613,-73.96536
347,40.68048,-73.94911
